question,answer,context
"What does `$servername` represent in this file?","It specifies the address of the database server, set to `localhost`.","$servername = 'localhost';"
"Why is `$username` set to `root`?","This is the default username for the database in XAMPP/MAMPP.","$username = 'root';"
"What does the `$password` variable store?","It stores the database password, which is empty by default for XAMPP/MAMPP.","$password = '';"
"Where can I change the database name in this file?","Change the value of `$dbname` to the desired database name.","$dbname = 'ShirtShack';"
"What happens if the database connection fails?","The script calls `die()` to stop execution and print the error message.","`if ($conn->connect_error) { die('Connection failed: ' . $conn->connect_error); }`"
"How does this file establish a connection to the database?","Using the `new mysqli()` constructor with server, username, password, and database parameters.","`$conn = new mysqli($servername, $username, $password, $dbname);`"
"Why is `localhost` used as the server name?","`localhost` is used when the database is hosted on the same server as the script.","$servername = 'localhost';"
"What library is used for database interaction in this file?","The MySQLi (MySQL Improved) library is used.","`$conn = new mysqli($servername, $username, $password, $dbname);`"
"How do I handle connection errors in this script?","The script uses `if ($conn->connect_error)` to check for errors and calls `die()` if one occurs.","`if ($conn->connect_error) { die('Connection failed: ' . $conn->connect_error); }`"
"What type of value does `$conn->connect_error` return?","It returns a string containing the error message if the connection fails.","`if ($conn->connect_error) { die('Connection failed: ' . $conn->connect_error); }`"
"Can I change `$servername` to an IP address?","Yes, you can replace `localhost` with the IP address of the database server.","$servername = 'localhost';"
"What is the role of the `$dbname` variable?","It specifies the name of the database to connect to, such as `ShirtShack`.","$dbname = 'ShirtShack';"
"Why is `$password` empty in this file?","By default, XAMPP/MAMPP does not set a password for the `root` user.","$password = '';"
"Can I use a different username instead of `root`?","Yes, you can set `$username` to another database user's username.","$username = 'root';"
"Where is the connection resource stored?","It is stored in the `$conn` variable, which is an instance of `mysqli`.","$conn = new mysqli($servername, $username, $password, $dbname);"
"What does the `new mysqli()` function do?","It initializes a connection to the database using the provided credentials.","`$conn = new mysqli($servername, $username, $password, $dbname);`"
"Why do I need to use `die()` in this script?","`die()` is used to stop the script and display an error message if the connection fails.","`if ($conn->connect_error) { die('Connection failed: ' . $conn->connect_error); }`"
"What is the default database server name?","The default server name is `localhost`.","$servername = 'localhost';"
"How do I add a password to the connection?","Set the `$password` variable to your database password.","$password = '';"
"Is `localhost` always the correct server name?","It depends on the hosting environment. For remote servers, use their domain or IP.","$servername = 'localhost';"
"What happens if I use the wrong `$username`?","The connection will fail, and an error will be displayed using `die()`.","`if ($conn->connect_error) { die('Connection failed: ' . $conn->connect_error); }`"
"Can I use this script for a PostgreSQL database?","No, this script uses MySQLi, which is specific to MySQL databases.","`$conn = new mysqli($servername, $username, $password, $dbname);`"
"How do I change the database host?","Replace the value of `$servername` with the new host's address.","$servername = 'localhost';"
"What does `$conn->connect_error` check for?","It checks if there was an error during the connection attempt.","`if ($conn->connect_error) { die('Connection failed: ' . $conn->connect_error); }`"
"Can I add comments to the database connection file?","Yes, you can use `//` for single-line comments or `/* */` for multi-line comments.","// This is a comment"
"Why is `mysqli` preferred over `mysql_connect`?","`mysqli` offers improved features like prepared statements and object-oriented syntax.","`$conn = new mysqli($servername, $username, $password, $dbname);`"
"How do I debug connection issues?","Print `$conn->connect_error` to see the error message.","`if ($conn->connect_error) { die('Connection failed: ' . $conn->connect_error); }`"
"Is this script secure for production use?","No, sensitive details like passwords should not be stored in plain text.","$password = '';"
"How do I use environment variables for credentials?","Replace hardcoded values with environment variables using `getenv()`.","$servername = getenv('DB_SERVER');"
"What is the value of `$servername`?", "`localhost` is assigned to `$servername`.", "`$servername = 'localhost'; // database server`"
"Where should I define the database server address?", "In the `$servername` variable.", "`$servername = 'localhost'; // database server`"
"What is `$username` used for?", "`$username` stores the username for database access.", "`$username = 'root'; // change for your XAMPP/MAMPP configuration`"
"How can I set a new database user?", "Update the `$username` variable with the new username.", "`$username = 'new_user';`"
"Why is `$password` empty?", "It's empty because XAMPP/MAMPP often doesn't use a password for `root` by default.", "`$password = ''; // change for your XAMPP/MAMPP configuration`"
"How can I add a password for my database user?", "Set `$password` to your chosen password.", "`$password = 'your_password';`"
